source	prediction	target
中国经济网北京12月13日讯近日，执行信息公开网显示，北京居然之家投资控股集团有限公司新增被执行人信息，案号（2021）内0102执5250号，执行标的596.23万元，立案日期为2021年12月8日，执行法院为呼和浩特市新城区人民法院。	中国经济网北京12月13日讯近日，执行信息公开网显示，北京居然之家投资控股集团有限公司新增被执行人信息，案号（2021）内0102执5250号，执行标的596.23万元，立案日期为2021年12月8日，执行法院为呼和浩特市新城区人民法院。	中国经济网北京12月13日讯近日，执行信息公开网显示，北京居然之家投资控股集团有限公司新增被执行人信息，案号（2021）内0102执5250号，执行标的596.23万元，立案日期为2021年12月8日，执行法院为呼和浩特市新城区人民法院。
运城频道讯2017年1月6日，运城市委政法委矛盾纠纷排查调处办公室副主任李铁军，带领盐湖区委政法委矛盾纠纷排查调处办公室主任王春娟一行4人，深入盐湖区法院就诉调对接工作进行司法调研，副院长原菲娜参加调研活动。	2017年1月6日，运城市委政法委矛盾纠纷排查调处办公室副主任李铁军，带领盐湖区委政法委矛盾纠纷排查调处办公室主任王春娟一行4人，深入盐湖区法院就诉调对接工作进行司法调研，副院长原菲娜参加调研活动。	运城频道讯2017年1月6日，运城市委政法委矛盾纠纷排查调处办公室副主任李铁军，带领盐湖区委政法委矛盾纠纷排查调处办公室主任王春娟一行4人，深入盐湖区法院就诉调对接工作进行司法调研，副院长原菲娜参加调研活动。
）温州市中级人民法院一审、浙江省高级人民法院二审的被告人戴晓满故意杀人一案，近日经最高人民法院依法核准死刑。温州市中级人民法院收到最高人民法院刑事裁定书后向戴晓满进行了宣告，并于2019年12月10日下午遵照最高人民法院院长签发的执行死刑命令，对戴晓满执行了死刑。	）温州市中级人民法院一审、浙江省高级人民法院二审的被告人戴晓满故意杀人一案，近日经最高人民法院依法核准死刑。温州市中级人民法院收到最高人民法院刑事裁定书后向戴晓满进行了宣告，并于2019年12月10日下午遵照最高人民法院院长签发的执行死刑命令，对戴晓满执行了死刑。	）温州市中级人民法院一审、浙江省高级人民法院二审的被告人戴晓满故意杀人一案，近日经最高人民法院依法核准死刑。温州市中级人民法院收到最高人民法院刑事裁定书后向戴晓满进行了宣告，并于2019年12月10日下午遵照最高人民法院院长签发的执行死刑命令，对戴晓满执行了死刑。
为推动领导干部违规插手干预工程建设和矿产开发突出问题专项整治深入开展，发挥典型案例警示震慑作用，日前，我省7市先后通报一批领导干部违规插手干预工程建设和矿产开发突出问题典型案例。4.甘泉县人民法院原党组书记、院长刘志秀违规插手干预工程建设问题。	为推动领导干部违规插手干预工程建设和矿产开发突出问题专项整治深入开展，发挥典型案例警示震慑作用，日前，我省7市先后通报一批领导干部违规插手干预工程建设和矿产开发突出问题典型案例。4.甘泉县人民法院原党组书记、院长刘志秀违规插手干预工程建设问题。	为推动领导干部违规插手干预工程建设和矿产开发突出问题专项整治深入开展，发挥典型案例警示震慑作用，日前，我省7市先后通报一批领导干部违规插手干预工程建设和矿产开发突出问题典型案例。4.甘泉县人民法院原党组书记、院长刘志秀违规插手干预工程建设问题。
幼儿园花了23万元，购买两辆新校车接送娃娃，没想到买来的校车开了不到两周，出现各种问题。其中一辆校车还出现刹车问题，幼儿园校长只得花高价租车接送娃娃。为此，幼儿园多次找经销商和厂家，要求退车或者更换新车，却遭到拒绝。无奈之下，幼儿园将经销商告上法庭，要求退车退款，并赔偿各种经济损失共计72万余元。近日，昆明市西山法院审理后，认定两辆校车均是不合格产品，存在质量问题，判决退车退款，并赔偿损失6万余元。目前，幼儿园已向昆明中院提起上诉。	幼儿园花了23万元，购买两辆新校车接送娃娃，没想到买来的校车开了不到两周，出现各种问题。其中一辆校车还出现刹车问题，幼儿园校长只得花高价租车接送娃娃。为此，幼儿园多次找经销商和厂家，要求退车或者更换新车，却遭到拒绝。无奈之下，幼儿园将经销商告上法庭，要求退车退款，并赔偿各种经济损失共计72万余元。近日，昆明市西山法院审理后，认定两辆校车均是不合格产品，存在质量问题，判决退车退款，并赔偿损失6万余元。目前，幼儿园已向昆明中院提起上诉。	幼儿园花了23万元，购买两辆新校车接送娃娃，没想到买来的校车开了不到两周，出现各种问题。其中一辆校车还出现刹车问题，幼儿园校长只得花高价租车接送娃娃。为此，幼儿园多次找经销商和厂家，要求退车或者更换新车，却遭到拒绝。无奈之下，幼儿园将经销商告上法庭，要求退车退款，并赔偿各种经济损失共计72万余元。近日，昆明市西山法院审理后，认定两辆校车均是不合格产品，存在质量问题，判决退车退款，并赔偿损失6万余元。目前，幼儿园已向昆明中院提起上诉。
（原标题：冒充监狱管理局民警以低价办卡为幌诈骗9人4000多万）法制晚报·看法新闻买来警服，私刻公章，冒充北京市监狱管理局的民警，女子田某谎称可以从单位低价购买到中石化、中移动等储值卡卖，诈骗王某等9名被害人货款共计4000余万元。今天上午，涉嫌诈骗罪的田某在北京二中院受审，在法庭上，田某表示认罪，并承认自己确实用被害人的钱买了宝马车、商品房、手表和20多个名牌包。该案未当庭宣判。	法新闻买来警服，私刻公章，冒充北京市监狱管理局的民警，女子田某谎称可以从单位低价购买到中石化、中移动等储值卡卖，诈骗王某等9名被害人货款共计4000余万元。今天上午，涉嫌诈骗罪的田某在北京二中院受审，在法庭上，田某表示认罪，并承认自己确实用被害人的钱买了宝马车、商品房、手表和20多个名牌包。该案未当庭宣判。	（原标题：冒充监狱管理局民警以低价办卡为幌诈骗9人4000多万）法制晚报·看法新闻买来警服，私刻公章，冒充北京市监狱管理局的民警，女子田某谎称可以从单位低价购买到中石化、中移动等储值卡卖，诈骗王某等9名被害人货款共计4000余万元。今天上午，涉嫌诈骗罪的田某在北京二中院受审，在法庭上，田某表示认罪，并承认自己确实用被害人的钱买了宝马车、商品房、手表和20多个名牌包。该案未当庭宣判。
恒大地产欠下2万亿元的债务被宣扬的满城风雨，有传言恒大会就此倒下，大家怎么看呢？认为恒大的主要原因还是在于经营不善的同时盲目扩大，才会导致欠下巨额债务。只是，巨额债务的事情还未告一段落，欠供应商的2000亿商票又紧随其后。	恒大地产欠下2万亿元的债务被宣扬的满城风雨，有传言恒大会就此倒下，大家怎么看呢？认为恒大的主要原因还是在于经营不善的同时盲目扩大，才会导致欠下巨额债务。只是，巨额债务的事情还未告一段落，欠供应商的2000亿商票又紧随其后。	恒大地产欠下2万亿元的债务被宣扬的满城风雨，有传言恒大会就此倒下，大家怎么看呢？认为恒大的主要原因还是在于经营不善的同时盲目扩大，才会导致欠下巨额债务。只是，巨额债务的事情还未告一段落，欠供应商的2000亿商票又紧随其后。
星岛消息：2017年4月11日上午，在郑州市第十四届人民代表大会第五次会议上，郑州市中级人民法院院长于东辉作工作报告。郑州中院官方微信公号同时刊发小编解读报告中那些大案要案。其中显示，河南人民广播电台原台长李新全受贿案。郑州中院披露案情如下：2008年12月底至2014年春节期间，被告人李新全利用担任河南人民广播电台台长的职务便利，先后多次收受河南弘锦文化传播有限公司、河南新维思广告有限公司等公司负责人财物共计798.05万元，为其公司取得广播电台广告代理权提供帮助。法院依法以受贿罪判处其有期徒刑十一年六个月，剥夺政治权利二年，并处罚金人民币100万元。	2017年4月11日上午，在郑州市第十四届人民代表大会第五次会议上，郑州市中级人民法院院长于东辉作工作报告。郑州中院官方微信公号同时刊发小编解读报告中那些大案要案。其中显示，河南人民广播电台原台长李新全受贿案。郑州中院披露案情如下：2008年12月底至2014年春节期间，被告人李新全利用担任河南人民广播电台台长的职务便利，先后多次收受河南弘锦文化传播有限公司、河南新维思广告有限公司等公司负责人财物共计798.05万元，为其公司取得广播电台广告代理权提供帮助。法院依法以受贿罪判处其有期徒刑十一年六个月，剥夺政治权利二年，并处罚金人民币100万元。	星岛消息：2017年4月11日上午，在郑州市第十四届人民代表大会第五次会议上，郑州市中级人民法院院长于东辉作工作报告。郑州中院官方微信公号同时刊发小编解读报告中那些大案要案。其中显示，河南人民广播电台原台长李新全受贿案。郑州中院披露案情如下：2008年12月底至2014年春节期间，被告人李新全利用担任河南人民广播电台台长的职务便利，先后多次收受河南弘锦文化传播有限公司、河南新维思广告有限公司等公司负责人财物共计798.05万元，为其公司取得广播电台广告代理权提供帮助。法院依法以受贿罪判处其有期徒刑十一年六个月，剥夺政治权利二年，并处罚金人民币100万元。
原标题：广州白云钟落潭有刺激性气体地铁一度不停站通过！环境局称正排查11月21日晚，南都记者接到报料，广州市白云区钟落潭镇有刺激性气体，也有网友反映，广州地铁十四号线往嘉禾望岗方向，竹料和太和区间，车厢内有刺激性气体。当晚，南都记者从广州生态环境局获悉，已对刺激性气体来源进行排查，排查结果会第一时间向外界通报。当晚22时20分许，据广州地铁消息，目前钟落潭站已无刺激性气味，恢复正常运营。	21日晚，南都记者接到报料，广州市白云区钟落潭镇有刺激性气体，也有网友反映，广州地铁十四号线往嘉禾望岗方向，竹料和太和区间，车厢内有刺激性气体。当晚，南都记者从广州生态环境局获悉，已对刺激性气体来源进行排查，排查结果会第一时间向外界通报。当晚22时20分许，据广州地铁消息，目前钟落潭站已无刺激性气味，恢复正常运营。	原标题：广州白云钟落潭有刺激性气体地铁一度不停站通过！环境局称正排查11月21日晚，南都记者接到报料，广州市白云区钟落潭镇有刺激性气体，也有网友反映，广州地铁十四号线往嘉禾望岗方向，竹料和太和区间，车厢内有刺激性气体。当晚，南都记者从广州生态环境局获悉，已对刺激性气体来源进行排查，排查结果会第一时间向外界通报。当晚22时20分许，据广州地铁消息，目前钟落潭站已无刺激性气味，恢复正常运营。
消息近日，上海一起巨额非法吸收公众存款案曝光，国阳资产、国阳以及国诚公司非法吸收投资人资金近16亿元，团伙共计10人获刑，其中主犯被判有期徒刑7年，并处罚金人民币30万元，公布了该案的相关细节。上海市虹口区人民法院认为，被告人温某等10人结伙或与他人结伙，违反国家金融管理法律规定，非法吸收公众存款，扰乱金融秩序，其行为均已构成非法吸收公众存款罪。	消息近日，上海一起巨额非法吸收公众存款案曝光，国阳资产、国阳以及国诚公司非法吸收投资人资金近16亿元，团伙共计10人获刑，其中主犯被判有期徒刑7年，并处罚金人民币30万元，公布了该案的相关细节。上海市虹口区人民法院认为，被告人温某等10人结伙或与他人结伙，违反国家金融管理法律规定，非法吸收公众存款，扰乱金融秩序，其行为均已构成非法吸收公众存款罪。	消息近日，上海一起巨额非法吸收公众存款案曝光，国阳资产、国阳以及国诚公司非法吸收投资人资金近16亿元，团伙共计10人获刑，其中主犯被判有期徒刑7年，并处罚金人民币30万元，公布了该案的相关细节。上海市虹口区人民法院认为，被告人温某等10人结伙或与他人结伙，违反国家金融管理法律规定，非法吸收公众存款，扰乱金融秩序，其行为均已构成非法吸收公众存款罪。
